Yahoo_ESG_Company,Yahoo_Market_Cap,Yahoo_PE_Ratio,Yahoo EPS,Yahoo_ESG_Total,Yahoo_Environment,Yahoo_Social,Yahoo Governance
MSFT,3.252T,36.09,12.12,14.2,1.6,7.6,5.0
NVDA,3.554T,57.14,2.54,12.9,2.5,4.4,6.0
AAPL,3.673T,39.90,6.09,16.8,0.6,7.5,8.7
