SnP_ESG_Company,SnP_ESG_Score,SnP_ESG_Country,SnP_ESG_Industry,SnP_ESG_Ticker,ESG_environment,ESG_social,ESG_governance
"MetLife, Inc. ESG Score",53,Location: United States of America,Industry: INS Insurance,Ticker: MET,68,45,54
Johnson Controls International plc ESG Score,54,Location: Ireland,Industry: BLD Building Products,Ticker: JCI,50,63,49
The Bank of New York Mellon Corporation ESG Score,52,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: BK,48,44,59
"Charter Communications, Inc. ESG Score",29,Location: United States of America,"Industry: PUB Media, Movies & Entertainment",Ticker: CHTR,26,26,34
PG&E Corporation,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Copart, Inc. ESG Score",24,Location: United States of America,Industry: ICS Commercial Services & Supplies,Ticker: CPRT,23,20,28
Monster Beverage Corporation ESG Score,30,Location: United States of America,Industry: BVG Beverages,Ticker: MNST,30,27,34
"Ameriprise Financial, Inc. ESG Score",34,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: AMP,27,28,40
"AutoZone, Inc. ESG Score",33,Location: United States of America,Industry: RTS Retailing,Ticker: AZO,29,28,40
"Paychex, Inc. ESG Score",37,Location: United States of America,Industry: PRO Professional Services,Ticker: PAYX,46,30,42
Phillips 66 ESG Score,43,Location: United States of America,Industry: OGR Oil & Gas Refining & Marketing,Ticker: PSX,33,40,55
"Diamondback Energy, Inc. ESG Score",45,Location: United States of America,Industry: OGX Oil & Gas Upstream & Integrated,Ticker: FANG,41,39,56
The Allstate Corporation ESG Score,57,Location: United States of America,Industry: INS Insurance,Ticker: ALL,65,58,54
"D.R. Horton, Inc. ESG Score",47,Location: United States of America,Industry: HOM Homebuilding,Ticker: DHI,48,39,53
Realty Income Corporation ESG Score,37,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: O,43,30,37
Marathon Petroleum Corporation ESG Score,51,Location: United States of America,Industry: OGR Oil & Gas Refining & Marketing,Ticker: MPC,59,47,46
"L3Harris Technologies, Inc. ESG Score",54,Location: United States of America,Industry: ARO Aerospace & Defense,Ticker: LHX,45,55,60
"American Electric Power Company, Inc. ESG Score",40,Location: United States of America,Industry: ELC Electric Utilities,Ticker: AEP,36,38,50
"Cencora, Inc. ESG Score",48,Location: United States of America,Industry: HEA Health Care Providers & Services,Ticker: COR,46,48,48
