MSCI_Company,MSCI_ESG_Rating,MSCI_Environment_Flag,MSCI_Social_Flag,MSCI_Governance_Flag,MSCI_Customer_Flag,MSCI_Human_Rights_Flag,MSCI_Labor_Rights_Flag
"Roper Technologies, Inc.",A,Green,Green,Green,Green,Green,Green
Norfolk Southern Corporation,A,Yellow,Orange,Green,Yellow,Orange,Yellow
"Kinder Morgan, Inc.",AAA,Green,Yellow,Yellow,Green,Green,Yellow
"W.W. Grainger, Inc.",AAA,Green,Green,Green,Green,Green,Green
"The Travelers Companies, Inc.",A,Green,Green,Green,Green,Green,Green
Sempra,A,Green,Orange,Yellow,Orange,Yellow,Green
Public Storage,BBB,Green,Green,Green,Green,Green,Green
Fair Isaac Corporation,AA,Green,Green,Green,Green,Green,Green
NXP Semiconductors N.V.,AAA,Green,Green,Green,Green,Green,Green
"United Rentals, Inc.",AA,Green,Green,Green,Green,Green,Green
"MetLife, Inc.",AA,Green,Yellow,Green,Yellow,Green,Green
Johnson Controls International plc,AA,Yellow,Orange,Green,Green,Orange,Green
The Bank of New York Mellon Corporation,AA,Green,Green,Yellow,Green,Green,Green
"Charter Communications, Inc.",BBB,Green,Yellow,Green,Green,Green,Yellow
"Copart, Inc.",A,Green,Yellow,Green,Green,Green,Yellow
Monster Beverage Corporation,BB,Green,Green,Green,Green,Green,Green
"Ameriprise Financial, Inc.",A,Green,Green,Green,Green,Green,Green
"AutoZone, Inc.",A,Green,Green,Green,Green,Green,Green
"Paychex, Inc.",AA,Green,Green,Green,Green,Green,Green
Phillips 66,AA,Yellow,Orange,Green,Green,Orange,Green
"Diamondback Energy, Inc.",AA,Green,Yellow,Green,Yellow,Green,Green
The Allstate Corporation,A,Green,Orange,Green,Orange,Green,Green
"D.R. Horton, Inc.",A,Green,Green,Green,Green,Green,Green
Marathon Petroleum Corporation,BBB,Yellow,Orange,Green,Green,Orange,Yellow
"L3Harris Technologies, Inc.",A,Green,Orange,Green,Green,Green,Orange
"American Electric Power Company, Inc.",A,Green,Yellow,Yellow,Yellow,Green,Green
"Cencora, Inc.",AA,Green,Yellow,Yellow,Yellow,Green,Green
Cummins Inc.,AAA,Green,Yellow,Green,Green,Green,Yellow
Vistra Corp.,BB,Green,Yellow,Green,Yellow,Green,Green
"Old Dominion Freight Line, Inc.",AA,Green,Yellow,Green,Green,Green,Yellow
"Quanta Services, Inc.",AA,Green,Green,Green,Green,Green,Green
"Dominion Energy, Inc.",AA,Green,Yellow,Green,Green,Green,Yellow
Fastenal Company,A,Green,Yellow,Green,Green,Green,Yellow
Newmont Corporation,AA,Green,Yellow,Green,Green,Green,Yellow
"Fidelity National Information Services, Inc.",AA,Green,Green,Green,Green,Green,Green
Occidental Petroleum Corporation,A,Yellow,Yellow,Green,Green,Yellow,Green
"American International Group, Inc.",BBB,Green,Yellow,Green,Green,Green,Yellow
"Ross Stores, Inc.",BBB,Green,Green,Green,Green,Green,Green
Howmet Aerospace Inc.,A,Green,Green,Green,Green,Green,Green
"Nasdaq, Inc.",AA,Green,Green,Green,Green,Green,Green
Kenvue Inc.,AA,Green,Green,Green,Green,Green,Green
Keurig Dr Pepper Inc.,AA,Green,Green,Green,Green,Green,Green
"AMETEK, Inc.",A,Green,Green,Green,Green,Green,Green
Lennar Corporation,BB,Green,Green,Green,Green,Green,Green
"Prudential Financial, Inc.",AAA,Green,Green,Green,Green,Green,Green
Discover Financial Services,AA,Green,Green,Green,Green,Green,Green
Crown Castle Inc.,AAA,Green,Green,Green,Green,Green,Green
Ford Motor Company,BB,Green,Orange,Green,Orange,Green,Yellow
Kimberly-Clark Corporation,AA,Green,Yellow,Green,Green,Green,Yellow
Hess Corporation,AAA,Yellow,Yellow,Green,Yellow,Yellow,Green
Valero Energy Corporation,AA,Yellow,Yellow,Green,Green,Yellow,Yellow
"Constellation Brands, Inc.",A,Green,Green,Green,Green,Green,Green
Baker Hughes Company,AA,Green,Yellow,Green,Green,Green,Yellow
Public Service Enterprise Group Incorporated,AAA,Green,Green,Green,Green,Green,Green
The Kroger Co.,AA,Green,Orange,Yellow,Green,Green,Orange
Electronic Arts Inc.,AA,Green,Yellow,Green,Yellow,Green,Green
"Gartner, Inc.",AA,Green,Green,Green,Green,Green,Green
Targa Resources Corp.,AA,Green,Green,Green,Green,Green,Green
Ingersoll Rand Inc.,AA,Green,Green,Green,Green,Green,Green
Corning Incorporated,BBB,Green,Green,Green,Green,Green,Green
"Delta Air Lines, Inc.",AA,Green,Yellow,Green,Yellow,Yellow,Yellow
Garmin Ltd.,A,Green,Green,Green,Green,Green,Green
"CBRE Group, Inc.",AA,Green,Green,Green,Green,Green,Green
"Verisk Analytics, Inc.",A,Green,Green,Green,Green,Green,Green
Cognizant Technology Solutions Corporation,A,Green,Yellow,Yellow,Green,Green,Yellow
Otis Worldwide Corporation,A,Green,Yellow,Green,Green,Green,Yellow
Lululemon Athletica Inc.,AA,Yellow,Yellow,Green,Green,Yellow,Yellow
Xcel Energy Inc.,AA,Green,Orange,Green,Yellow,Orange,Green
"Corteva, Inc.",BBB,Orange,Orange,Green,Orange,Orange,Orange
Edwards Lifesciences Corporation,AAA,Green,Green,Green,Green,Green,Green
GE HealthCare Technologies Inc.,A,Green,Green,Green,Green,Green,Green
IQVIA Holdings Inc.,AA,Green,Green,Green,Green,Green,Green
The Kraft Heinz Company,AA,Green,Yellow,Green,Green,Green,Yellow
"Agilent Technologies, Inc.",AA,Green,Green,Green,Green,Green,Green
Exelon Corporation,AA,Green,Yellow,Green,Yellow,Green,Yellow
