MSCI_Company,MSCI_ESG_Rating,MSCI_Environment_Flag,MSCI_Social_Flag,MSCI_Governance_Flag,MSCI_Customer_Flag,MSCI_Human_Rights_Flag,MSCI_Labor_Rights_Flag
W. R. Berkley Corporation,BB,Green,Yellow,Green,Green,Green,Yellow
Waters Corporation,AAA,Green,Green,Green,Green,Green,Green
International Flavors & Fragrances Inc.,AA,Green,Yellow,Yellow,Yellow,Green,Green
Atmos Energy Corporation,A,Green,Yellow,Green,Green,Green,Yellow
Teledyne Technologies Incorporated,A,Green,Green,Green,Green,Green,Green
"Warner Bros. Discovery, Inc.",BBB,Green,Green,Green,Green,Green,Green
"Tyson Foods, Inc.",BBB,Yellow,Orange,Green,Orange,Yellow,Yellow
Weyerhaeuser Company,AA,Green,Yellow,Green,Green,Green,Yellow
Eversource Energy,AA,Green,Green,Yellow,Green,Green,Green
Western Digital Corporation,AA,Green,Green,Green,Green,Green,Green
"Steel Dynamics, Inc.",AA,Green,Green,Green,Green,Green,Green
"Zimmer Biomet Holdings, Inc.",AA,Green,Green,Green,Green,Green,Green
Erie Indemnity Company,B,Green,Green,Green,Green,Green,Green
Packaging Corporation of America,BB,Green,Green,Green,Green,Green,Green
Northern Trust Corporation,A,Green,Green,Green,Green,Green,Green
"Cboe Global Markets, Inc.",AA,Green,Green,Yellow,Green,Green,Green
Zebra Technologies Corporation,A,Green,Green,Green,Green,Green,Green
Fox Corporation,A,Green,Orange,Yellow,Orange,Green,Yellow
"Builders FirstSource, Inc.",A,Green,Green,Green,Green,Green,Green
"McCormick & Company, Incorporated",AA,Green,Green,Green,Green,Green,Green
Invitation Homes Inc.,BBB,Green,Yellow,Green,Yellow,Green,Green
"Citizens Financial Group, Inc.",A,Green,Yellow,Green,Yellow,Green,Green
Labcorp Holdings Inc.,AA,Green,Orange,Yellow,Orange,Green,Green
The Clorox Company,AAA,Yellow,Yellow,Green,Yellow,Green,Green
CMS Energy Corporation,AA,Green,Orange,Yellow,Orange,Green,Green
"The Cooper Companies, Inc.",AA,Green,Orange,Green,Orange,Green,Green
Omnicom Group Inc.,BBB,Green,Yellow,Green,Green,Green,Yellow
"Essex Property Trust, Inc.",BB,Green,Yellow,Green,Yellow,Green,Green
"Principal Financial Group, Inc.",A,Green,Green,Green,Green,Green,Green
International Paper Company,AA,Green,Green,Green,Green,Green,Green
"CenterPoint Energy, Inc.",A,Green,Yellow,Green,Yellow,Green,Green
"Darden Restaurants, Inc.",BBB,Green,Green,Green,Green,Green,Green
"First Solar, Inc.",AA,Green,Green,Green,Green,Green,Green
"Best Buy Co., Inc.",AAA,Green,Green,Green,Green,Green,Green
Insulet Corporation,A,Green,Green,Green,Green,Green,Green
Southwest Airlines Co.,B,Green,Orange,Yellow,Yellow,Green,Orange
"Mid-America Apartment Communities, Inc.",BB,Green,Green,Green,Green,Green,Green
Brown-Forman Corporation,AA,Green,Green,Green,Green,Green,Green
KeyCorp,A,Green,Green,Green,Green,Green,Green
"Alexandria Real Estate Equities, Inc.",BBB,Green,Green,Green,Green,Green,Green
Snap-on Incorporated,BBB,Green,Green,Green,Green,Green,Green
Gen Digital Inc.,AA,Green,Green,Green,Green,Green,Green
"NRG Energy, Inc.",BB,Green,Yellow,Green,Yellow,Yellow,Green
Coterra Energy Inc.,BBB,Green,Green,Green,Green,Green,Green
"Hologic, Inc.",AA,Green,Green,Green,Green,Green,Green
FactSet Research Systems Inc.,AA,Green,Green,Green,Green,Green,Green
Jacobs Solutions Inc.,AA,Green,Yellow,Green,Green,Green,Yellow
"Molina Healthcare, Inc.",AA,Green,Green,Yellow,Green,Green,Green
Ball Corporation,AAA,Green,Green,Green,Green,Green,Green
Quest Diagnostics Incorporated,AAA,Green,Yellow,Green,Yellow,Green,Green
Loews Corporation,BB,Green,Green,Green,Green,Green,Green
"Ulta Beauty, Inc.",AA,Green,Yellow,Green,Green,Green,Yellow
Trimble Inc.,AA,Green,Green,Green,Green,Green,Green
"VeriSign, Inc.",A,Green,Green,Green,Green,Green,Green
"Teradyne, Inc.",A,Green,Green,Green,Green,Green,Green
News Corporation,BBB,Green,Yellow,Yellow,Yellow,Green,Green
IDEX Corporation,AA,Green,Green,Green,Green,Green,Green
Genuine Parts Company,A,Green,Green,Green,Green,Green,Green
Masco Corporation,BBB,Green,Green,Green,Green,Green,Green
NiSource Inc.,AAA,Green,Green,Green,Green,Green,Green
"Moderna, Inc.",AA,Green,Yellow,Green,Yellow,Green,Green
Hormel Foods Corporation,AA,Green,Yellow,Green,Yellow,Green,Green
Kimco Realty Corporation,BBB,Green,Green,Green,Green,Green,Green
"UDR, Inc.",BB,Green,Yellow,Green,Yellow,Green,Green
