Company,ESG_Score,Num_Sources
NVIDIA Corporation,98,65
Apple Inc.,91,92
Microsoft Corporation,99,101
Alphabet Inc.,89,99
Alphabet Inc.,89,99
"Amazon.com, Inc.",70,92
"Meta Platforms, Inc.",76,79
"Tesla, Inc.",47,70
Broadcom Inc.,81,47
Eli Lilly and Company,94,75
Walmart Inc.,86,92
